Boards & Toys Co.,3,1,1,New Customers
Atelier graphique,2,1,1,Lost Customers
Auto-Moto Classics Inc.,3,1,1,New Customers
Microscale Inc.,2,1,1,Lost Customers
Royale Belge,3,1,1,New Customers
"Bavarian Collectables Imports, Co.",1,1,1,Lost Customers
"Double Decker Gift Stores, Ltd",1,1,1,Lost Customers
Cambridge Collectables Co.,1,1,1,Lost Customers
West Coast Collectables Co.,1,1,1,Lost Customers
"Men 'R' US Retailers, Ltd.",1,1,1,Lost Customers
CAF Imports,1,1,1,Lost Customers
Signal Collectibles Ltd.,1,1,1,Lost Customers
Mini Auto Werke,3,1,1,New Customers
"Iberia Gift Imports, Corp.",1,1,1,Lost Customers
Online Mini Collectables,1,1,1,Lost Customers
Gift Ideas Corp.,3,1,1,New Customers
"Clover Collections, Co.",1,1,1,Lost Customers
"Australian Gift Network, Co",3,1,1,New Customers
"Australian Collectables, Ltd",4,2,1,Active
Auto Assoc. & Cie.,1,1,1,Lost Customers
"Classic Gift Ideas, Inc",2,2,1,potential churners
Osaka Souveniers Co.,1,2,1,Lost Customers
Daedalus Designs Imports,1,2,1,Lost Customers
Alpha Cognac,4,2,2,Active
Diecast Collectables,1,1,2,Lost Customers
Quebec Home Shopping Network,4,2,2,Active
Mini Wheels Co.,2,2,2,potential churners
"Royal Canadian Collectables, Ltd.",1,3,2,Lost Customers
Marseille Mini Autos,3,2,2,potential churners
Petit Auto,4,2,2,Active
Canadian Gift Exchange Network,2,2,2,potential churners
"Volvo Model Replicas, Co",2,1,2,Lost Customers
Classic Legends Inc.,2,2,2,potential churners
giftsbymail.co.uk,2,3,2,potential churners
Enaco Distributors,2,2,2,potential churners
Lyon Souveniers,4,2,2,Active
"Norway Gifts By Mail, Co.",1,2,2,Lost Customers
Super Scale Inc.,1,1,2,Lost Customers
Mini Caravy,4,1,2,New Customers
Collectables For Less Inc.,3,2,2,potential churners
Signal Gift Stores,3,3,2,Active
Gifts4AllAges.com,4,2,2,Active
Tekni Collectables Inc.,4,2,2,Active
Motor Mint Distributors Inc.,2,2,2,potential churners
"Blauer See Auto, Co.",2,2,2,potential churners
Mini Classics,2,3,2,potential churners
Collectable Mini Designs Co.,1,2,3,Lost Customers
Vitachrome Inc.,2,2,3,potential churners
"Stylish Desk Decors, Co.",3,3,3,Active
Auto Canal Petit,4,3,3,Loyal
Cruz & Sons Co.,2,3,3,"Slipping Away, Cannot lose"
Amica Models & Co.,1,3,3,"Slipping Away, Cannot lose"
"La Corne D'abondance, Co.",2,2,3,potential churners
FunGiftIdeas.com,3,3,3,Active
"Toms Spezialitten, Ltd",2,3,3,"Slipping Away, Cannot lose"
Heintze Collectables,2,3,3,"Slipping Away, Cannot lose"
Gift Depot Inc.,4,2,3,Loyal
Marta's Replicas Co.,1,3,3,"Slipping Away, Cannot lose"
"Oulu Toy Supplies, Inc.",3,3,3,Active
Toys4GrownUps.com,3,3,3,Active
Mini Creations Ltd.,3,4,3,"Slipping Away, Cannot lose"
"Toys of Finland, Co.",3,3,3,Active
Herkku Gifts,1,3,3,"Slipping Away, Cannot lose"
Suominen Souveniers,3,3,3,Active
Handji Gifts& Co,4,4,3,Loyal
Baane Mini Imports,2,3,3,"Slipping Away, Cannot lose"
"Vida Sport, Ltd",1,3,3,"Slipping Away, Cannot lose"
"UK Collectables, Ltd.",4,3,3,Loyal
"Tokyo Collectables, Ltd",4,3,3,Loyal
"Corrida Auto Replicas, Ltd",2,3,4,"Slipping Away, Cannot lose"
Technics Stores Inc.,3,4,4,"Slipping Away, Cannot lose"
Diecast Classics Inc.,4,3,4,Loyal
Online Diecast Creations Co.,2,4,4,"Slipping Away, Cannot lose"
Scandinavian Gift Ideas,3,4,4,"Slipping Away, Cannot lose"
Reims Collectables,4,4,4,Loyal
Rovelli Gifts,2,4,4,"Slipping Away, Cannot lose"
L'ordine Souveniers,4,4,4,Loyal
"Saveley & Henriot, Co.",1,4,4,"Slipping Away, Cannot lose"
Danish Wholesale Imports,4,4,4,Loyal
Salzburg Collectables,4,4,4,Loyal
Corporate Gift Ideas Co.,3,4,4,"Slipping Away, Cannot lose"
Souveniers And Things Co.,4,4,4,Loyal
"Anna's Decorations, Ltd",3,4,4,"Slipping Away, Cannot lose"
"AV Stores, Co.",2,4,4,"Slipping Away, Cannot lose"
The Sharp Gifts Warehouse,4,4,4,Loyal
Land of Toys Inc.,2,4,4,"Slipping Away, Cannot lose"
"Dragon Souveniers, Ltd.",3,4,4,"Slipping Away, Cannot lose"
La Rochelle Gifts,4,4,4,Loyal
Muscle Machine Inc,3,4,4,"Slipping Away, Cannot lose"
"Australian Collectors, Co.",3,4,4,"Slipping Away, Cannot lose"
Mini Gifts Distributors Ltd.,4,4,4,Loyal
Euro Shopping Channel,4,4,4,Loyal
